Messreihe Frequenzsweep Ladestrom Akku: AC ist Effektivwert
Frequenz Start/Stopp: 50/10000 Hz, Sin-Min: 10 mA, Sin-Max: 60 mA

t [s]; U_DC [v]; I_DC [mA]; R_DC [Ohm]; U_AC [v]; I_AC [mA]; R_Diff [Ohm]; C [mAh] 

194;3550;1.501;20.1298;74.590;0.015830;16.8945;0.9370; 2.9
197;3600;1.502;20.4647;73.404;0.015567;16.7698;0.9283; 2.9
200;3650;1.502;20.3035;73.989;0.015712;16.8103;0.9347; 2.9
202;3700;1.502;19.9836;75.168;0.015455;16.9231;0.9133; 3.0
205;3750;1.503;20.3995;73.684;0.015081;16.7843;0.8985; 3.0
207;3800;1.503;20.2686;74.154;0.015391;16.8394;0.9140; 3.1
210;3850;1.504;20.6305;72.920;0.015210;16.6748;0.9122; 3.1
213;3900;1.504;20.5736;73.090;0.015492;16.6721;0.9292; 3.1
215;3950;1.504;20.2544;74.237;0.015269;16.7893;0.9094; 3.2
218;4000;1.502;19.9678;75.243;0.015795;16.9024;0.9345; 3.2
220;4050;1.503;20.4615;73.473;0.015505;16.6948;0.9287; 3.3
223;4100;1.504;20.3467;73.935;0.015138;16.7099;0.9060; 3.3
226;4150;1.504;20.0841;74.862;0.016083;16.8095;0.9568; 3.3
228;4200;1.504;20.6121;72.971;0.015466;16.6362;0.9297; 3.4
231;4250;1.504;20.5535;73.188;0.015700;16.6469;0.9431; 3.4
234;4300;1.504;20.2679;74.195;0.015760;16.7415;0.9414; 3.5
236;4350;1.505;20.8131;72.309;0.015374;16.5237;0.9304; 3.5
239;4400;1.505;20.7509;72.528;0.015716;16.5123;0.9518; 3.6
241;4450;1.505;20.4807;73.470;0.015662;16.5913;0.9440; 3.6
244;4500;1.505;20.2483;74.327;0.015831;16.6765;0.9493; 3.6
247;4550;1.506;20.8321;72.286;0.015092;16.4755;0.9160; 3.7
249;4600;1.506;20.7894;72.430;0.015583;16.4807;0.9455; 3.7
252;4650;1.505;20.5454;73.265;0.015714;16.5553;0.9492; 3.8
254;4700;1.505;20.3090;74.104;0.015648;16.6490;0.9399; 3.8
257;4750;1.505;20.0458;75.088;0.015243;16.7346;0.9109; 3.8
260;4800;1.506;20.7133;72.708;0.015213;16.5012;0.9219; 3.9
262;4850;1.507;20.7214;72.726;0.015651;16.4817;0.9496; 3.9
265;4900;1.506;20.4446;73.659;0.015495;16.5594;0.9357; 4.0
267;4950;1.506;20.2068;74.520;0.015352;16.6377;0.9228; 4.0
270;5000;1.506;19.9556;75.446;0.015261;16.7114;0.9132; 4.0
273;5050;1.507;20.6828;72.842;0.015145;16.4407;0.9212; 4.1
275;5100;1.507;20.6828;72.867;0.015278;16.4203;0.9304; 4.1
278;5150;1.507;20.4624;73.634;0.015312;16.4943;0.9283; 4.2
281;5200;1.507;20.2555;74.407;0.015435;16.5467;0.9328; 4.2
283;5250;1.506;20.0085;75.265;0.015429;16.6313;0.9277; 4.2
286;5300;1.507;20.8097;72.421;0.015339;16.3603;0.9376; 4.3
288;5350;1.508;20.8668;72.275;0.015128;16.3405;0.9258; 4.3
291;5400;1.507;20.6446;73.016;0.015523;16.4382;0.9443; 4.4
294;5450;1.507;20.4204;73.802;0.015508;16.5064;0.9395; 4.4
296;5500;1.507;20.2114;74.568;0.015238;16.5618;0.9200; 4.5
299;5550;1.507;20.0051;75.315;0.015996;16.6096;0.9630; 4.5
301;5600;1.508;20.8532;72.309;0.015241;16.2753;0.9365; 4.5
304;5650;1.509;20.8976;72.198;0.015184;16.2259;0.9358; 4.6
307;5700;1.508;20.6657;72.979;0.015447;16.3007;0.9476; 4.6
309;5750;1.508;20.4710;73.682;0.015098;16.3736;0.9221; 4.7
312;5800;1.508;20.2739;74.373;0.015255;16.4114;0.9295; 4.7
314;5850;1.508;20.0682;75.119;0.015278;16.4739;0.9274; 4.7
317;5900;1.509;20.8864;72.251;0.015373;16.1854;0.9498; 4.8
320;5950;1.509;21.1440;71.389;0.015471;16.0848;0.9618; 4.8
322;6000;1.510;20.9684;72.007;0.015027;16.1376;0.9312; 4.9
325;6050;1.509;20.7436;72.764;0.015194;16.2073;0.9375; 4.9
327;6100;1.509;20.5183;73.524;0.015570;16.3068;0.9548; 4.9
330;6150;1.508;20.3369;74.162;0.015619;16.4044;0.9521; 5.0
